Letters,Sounds,Letter_Classification,Mei_Uyirmei_Classification_Sound,Kuril_Nedil_Classification,,,,,,,,,,,
யெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ரெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
லெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
வெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ழெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ளெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
றெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
னெ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
கே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னே,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னை,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஙொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
சொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ஞொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
டொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ணொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
தொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
நொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
பொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
மொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
யொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ரொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
லொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
வொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ழொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
ளொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_kuril_eluthu,,,,,,,,,,,
றொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_kuril_eluthu,,,,,,,,,,,
னொ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_kuril_eluthu,,,,,,,,,,,
கோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
போ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
